x,y
-10.000000,77.478122
-9.500000,73.268958
-9.000000,69.356366
-8.500000,65.576101
-8.000000,62.055302
-7.500000,58.687234
-7.000000,51.437159
-6.500000,44.759452
-6.000000,38.419592
-5.500000,32.710128
-5.000000,27.480484
-4.500000,22.782479
-4.000000,18.690414
-3.500000,14.951595
-3.000000,11.760314
-2.500000,8.963064
-2.000000,6.787306
-1.500000,5.003027
-1.000000,3.669029
-0.500000,2.952660
0.000000,2.571485
0.500000,2.770003
1.000000,3.460746
1.500000,4.714047
2.000000,6.449542
2.500000,8.654512
3.000000,11.450994
3.500000,14.692447
4.000000,18.411824
4.500000,22.664126
5.000000,27.459028
5.500000,32.743662
6.000000,38.519707
6.500000,44.657697
7.000000,51.314037
7.500000,58.640237
8.000000,62.055805
8.500000,65.577599
9.000000,69.183649
9.500000,73.031198
10.000000,77.173789
