x,y
-10.000000,101.026502
-9.500000,89.237961
-9.000000,80.529751
-8.500000,74.073930
-8.000000,66.732891
-7.500000,58.079453
-7.000000,50.874301
-6.500000,45.236465
-6.000000,34.660277
-5.500000,28.389193
-5.000000,23.921309
-4.500000,17.254653
-4.000000,14.118843
-3.500000,13.900078
-3.000000,9.931236
-2.500000,7.739718
-2.000000,6.552291
-1.500000,4.698039
-1.000000,2.548868
-0.500000,1.037229
0.000000,-1.646736
0.500000,2.710239
1.000000,-0.423897
1.500000,3.181180
2.000000,3.678628
2.500000,6.493027
3.000000,10.821552
3.500000,13.780411
4.000000,18.968112
4.500000,19.775774
5.000000,25.572474
5.500000,31.976379
6.000000,33.724468
6.500000,42.704469
7.000000,48.384808
7.500000,53.569594
8.000000,66.669442
8.500000,73.271033
9.000000,78.113660
9.500000,90.393778
10.000000,101.715157
