x,y
-10.000000,100.715559
-9.500000,89.529086
-9.000000,81.801615
-8.500000,72.650372
-8.000000,63.586054
-7.500000,56.586046
-7.000000,48.013976
-6.500000,41.968218
-6.000000,35.333986
-5.500000,30.368111
-5.000000,25.006550
-4.500000,20.964730
-4.000000,16.074310
-3.500000,12.063163
-3.000000,9.846264
-2.500000,6.059970
-2.000000,4.907993
-1.500000,3.001262
-1.000000,0.841208
-0.500000,0.229890
0.000000,-0.401639
0.500000,1.073217
1.000000,1.337656
1.500000,1.400332
2.000000,4.183110
2.500000,5.653334
3.000000,8.243665
3.500000,12.506176
4.000000,16.787568
4.500000,19.931652
5.000000,24.484562
5.500000,30.359659
6.000000,36.729198
6.500000,42.250804
7.000000,48.175654
7.500000,56.927035
8.000000,63.784305
8.500000,71.780159
9.000000,80.024068
9.500000,90.007313
10.000000,100.519852
