x,y
-10.000000,77.342946
-9.500000,73.317623
-9.000000,69.644095
-8.500000,65.797055
-8.000000,62.239924
-7.500000,58.886518
-7.000000,51.513098
-6.500000,44.790549
-6.000000,38.506278
-5.500000,32.602282
-5.000000,27.623626
-4.500000,22.813607
-4.000000,18.613865
-3.500000,14.616183
-3.000000,11.479188
-2.500000,8.846550
-2.000000,6.387009
-1.500000,4.917402
-1.000000,3.651756
-0.500000,2.938029
0.000000,2.834128
0.500000,2.978239
1.000000,3.662523
1.500000,4.861268
2.000000,6.749411
2.500000,9.134231
3.000000,11.627148
3.500000,14.886862
4.000000,18.590281
4.500000,22.777170
5.000000,27.554702
5.500000,32.924180
6.000000,38.792311
6.500000,45.316832
7.000000,52.138075
7.500000,59.173388
8.000000,62.416045
8.500000,66.163515
9.000000,70.164659
9.500000,73.945086
10.000000,78.148057
