x,y
-10.0,48.28264803259543
-9.0,45.43181522179312
-8.0,42.461922684892755
-7.0,39.63152841953365
-6.0,37.02887781444264
-5.0,34.81496191319705
-4.0,30.469343447674667
-3.0,26.923167326867414
-2.0,24.368912971603006
-1.0,22.87903275626646
0.0,22.56598885933066
1.0,22.896256613027845
2.0,24.409168631847106
3.0,26.94091596400472
4.0,30.389342923504106
5.0,34.735772063872155
6.0,43.13323789932878
7.0,49.85848624880869
8.0,54.72486265584623
9.0,57.131459542743684
10.0,58.06630041084362
-10.0,57.106391016865174
-9.0,54.8568311813516
-8.0,51.54554487458187
-7.0,47.6718003714265
-6.0,42.50470846702121
-5.0,36.74976870774499
-4.0,27.49389104290475
-3.0,20.006441253688358
-2.0,14.619824536384703
-1.0,12.242085588663485
0.0,11.482996285290149
1.0,12.12895083017292
2.0,14.94060748492111
3.0,19.759694464252103
4.0,26.739540811347297
5.0,35.95395575211397
6.0,39.738210771262
7.0,43.79431499278872
8.0,48.61292447333886
9.0,54.01706908710371
10.0,59.38274398431136
