x,y
-10.0,41.27529234774244
-9.0,39.73158536201847
-8.0,38.13053310762459
-7.0,36.60146420362219
-6.0,35.229221058886615
-5.0,34.07801813165426
-4.0,31.770164366239023
-3.0,29.85901467624393
-2.0,28.44801406525411
-1.0,27.607815383796886
0.0,27.399351224654108
1.0,28.155558132484263
2.0,29.918207478041904
3.0,32.445634326130886
4.0,35.42404765078004
5.0,38.622890164832505
6.0,41.76292672460838
7.0,44.6684335035469
8.0,47.135376798340964
9.0,49.02000265356112
10.0,50.1213995211536
-10.0,50.304490125142046
-9.0,48.882731320012574
-8.0,46.16890904772891
-7.0,42.522996491414226
-6.0,38.44214431377057
-5.0,34.2072984841748
-4.0,30.118440285384597
-3.0,26.489692676618187
-2.0,23.600069912042752
-1.0,21.697137224762827
0.0,21.10161425068035
1.0,21.37329080190917
2.0,22.855147524625895
3.0,25.455736908230485
4.0,29.037304594659485
5.0,33.32281899426384
6.0,41.314121996661704
7.0,47.90902498890857
8.0,52.35797072148511
9.0,54.84282789809584
10.0,56.01457746774326
-10.0,55.6508427306917
-9.0,53.73131713268196
-8.0,50.56654366470818
-7.0,46.828459394968945
-6.0,42.44240780407295
-5.0,37.05551677221868
-4.0,28.378067479575556
-3.0,21.67137332155877
-2.0,17.160606021087514
-1.0,14.218607905075253
0.0,13.48995469711228
1.0,13.597217762197777
2.0,16.41910209808133
3.0,21.82649839552923
4.0,28.64026798968224
5.0,37.43497760548815
6.0,41.16578110264552
7.0,45.30249154820699
8.0,49.6028969908949
9.0,54.651800812725696
10.0,61.30524359304075
